tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0060584	movie	"Kidnapping, Caucasian Style"	"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika"	0	1967	\N	82	"Adventure,Comedy,Romance"	8.4	11009
tt0060586	movie	Fighting Elegy	Kenka erejî	0	1966	\N	86	"Action,Comedy,Drama"	7	1341
tt0060588	movie	Khartoum	Khartoum	0	1966	\N	134	"Action,Adventure,Drama"	6.8	6772
tt0060635	movie	Dragon Inn	Long men kezhan	0	1967	\N	111	"Action,Adventure"	7.5	2430
tt0060636	movie	Lord Love a Duck	Lord Love a Duck	0	1966	\N	105	"Comedy,Drama,Romance"	6.4	1554
tt0060637	movie	Lost Command	Lost Command	0	1966	\N	129	"Action,Drama,War"	6.4	1692
tt0060640	movie	"Lt. Robin Crusoe, U.S.N."	"Lt. Robin Crusoe, U.S.N."	0	1966	\N	110	"Adventure,Comedy,Family"	6.1	1252
tt0060645	movie	Madame X	Madame X	0	1966	\N	100	Drama	7	2084
tt0060647	movie	Made in U.S.A	Made in U.S.A	0	1966	\N	90	"Comedy,Crime,Mystery"	6.4	3758
tt0060648	movie	Mademoiselle	Mademoiselle	0	1966	\N	105	Drama	7.3	1173
tt0060661	movie	The Man Called Flintstone	The Man Called Flintstone	0	1966	\N	89	"Action,Adventure,Animation"	6.7	1475
tt0060665	movie	A Man for All Seasons	A Man for All Seasons	0	1966	\N	120	"Biography,Drama,History"	7.7	31549
tt0060666	movie	Manos: The Hands of Fate	Manos: The Hands of Fate	0	1966	\N	70	Horror	1.9	34825
tt0060668	movie	Marat/Sade	Marat/Sade	0	1967	\N	116	"Drama,History,Music"	7.5	2314
tt0060675	movie	Masculin Féminin	Masculin féminin	0	1966	\N	110	"Drama,Romance"	7.6	12878
tt0060708	movie	Modesty Blaise	Modesty Blaise	0	1966	\N	119	"Action,Adventure,Comedy"	5.1	2598
tt0060712	movie	Mondo Topless	Mondo Topless	0	1966	\N	60	Documentary	5	1100
tt0060714	movie	Morgan!	Morgan: A Suitable Case for Treatment	0	1966	\N	97	"Comedy,Drama,Fantasy"	6.7	1733
tt0060722	movie	Death of a Bureaucrat	La muerte de un burócrata	0	1966	\N	85	Comedy	7.7	1140
tt0060726	movie	"Munster, Go Home!"	"Munster, Go Home!"	0	1966	\N	96	"Comedy,Family,Fantasy"	6.5	1987
tt0060728	movie	Murderers' Row	Murderers' Row	0	1966	\N	105	"Action,Adventure,Comedy"	6	1796
tt0060736	movie	The Naked Prey	The Naked Prey	0	1965	\N	96	"Adventure,Drama,Thriller"	7.3	4999
tt0060742	movie	Nayak: The Hero	Nayak	0	1966	\N	120	Drama	8.4	3507
tt0060747	movie	Neulovimye mstiteli	Neulovimye mstiteli	0	1967	\N	78	"Action,Adventure,Western"	7.4	1638
tt0060748	movie	Nevada Smith	Nevada Smith	0	1966	\N	128	Western	6.9	7613
tt0060753	movie	Red Zone Cuba	Night Train to Mundo Fine	0	1966	\N	89	"Action,Adventure,Crime"	2.6	6104
tt0060754	movie	The Night of the Grizzly	The Night of the Grizzly	0	1966	\N	102	"Adventure,Western"	6.6	1125
tt0060758	movie	Black Girl	La noire de...	0	1966	\N	65	Drama	7.4	3644
tt0060782	movie	One Million Years B.C.	One Million Years B.C.	0	1966	\N	100	"Adventure,Fantasy"	5.7	7793
tt0060794	movie	"Kill, Baby... Kill!"	Operazione paura	0	1966	\N	85	"Horror,Mystery"	7	6043
tt0060801	movie	The Oscar	The Oscar	0	1966	\N	119	Drama	5.3	1028
tt0060802	movie	Closely Watched Trains	Ostre sledované vlaky	0	1966	\N	92	"Comedy,Drama,Romance"	7.7	11603
tt0060814	movie	Is Paris Burning?	Paris brûle-t-il?	0	1966	\N	175	"Drama,History,War"	6.9	4158
tt0060818	movie	Penelope	Penelope	0	1966	\N	97	"Comedy,Crime"	6.3	1637
tt0060827	movie	Persona	Persona	0	1966	\N	85	"Drama,Thriller"	8.1	104538
tt0060841	movie	The Plague of the Zombies	The Plague of the Zombies	0	1966	\N	90	Horror	6.6	4515
tt0060862	movie	The Professionals	The Professionals	0	1966	\N	117	"Action,Adventure,Western"	7.3	14243
tt0060865	movie	Psycho-Circus	Circus of Fear	0	1966	\N	91	"Horror,Mystery,Thriller"	5.4	1152
tt0060877	movie	Queen of Blood	Queen of Blood	0	1966	\N	78	"Horror,Sci-Fi"	5.3	1684
tt0060879	movie	"Who Are You, Polly Maggoo?"	"Qui êtes-vous, Polly Maggoo?"	0	1966	\N	102	"Comedy,Drama"	7	1038
tt0060880	movie	The Quiller Memorandum	The Quiller Memorandum	0	1966	\N	104	"Crime,Drama,Mystery"	6.3	3509
tt0060884	movie	The Rare Breed	The Rare Breed	0	1966	\N	97	Western	6.4	3234
tt0060891	movie	The Nun	La religieuse	0	1966	\N	140	Drama	7.5	2365
tt0060893	movie	The Reptile	The Reptile	0	1966	\N	91	Horror	6.2	3242
tt0060897	movie	Return of the Seven	Return of the Seven	0	1966	\N	95	"Action,Western"	5.6	3810
tt0060903	movie	The Return of Ringo	Il ritorno di Ringo	0	1965	\N	95	"Romance,Western"	6.8	1454
tt0060908	movie	King of Hearts	Le roi de coeur	0	1966	\N	102	"Comedy,Drama,War"	7.5	3625
tt0060921	movie	The Russians Are Coming the Russians Are Coming	The Russians Are Coming the Russians Are Coming	0	1966	\N	126	"Comedy,War"	7.1	8082
tt0060934	movie	The Sand Pebbles	The Sand Pebbles	0	1966	\N	182	"Adventure,Drama,Romance"	7.6	13578
tt0060955	movie	Seconds	Seconds	0	1966	\N	106	"Sci-Fi,Thriller"	7.7	16712
tt0060959	movie	Daisies	Sedmikrásky	0	1966	\N	74	Comedy	7.4	10486
tt0060980	movie	The Silencers	The Silencers	0	1966	\N	102	"Action,Adventure,Comedy"	6.1	2678
tt0060983	movie	The Singing Nun	The Singing Nun	0	1966	\N	97	"Biography,Drama,Family"	6.2	1166
tt0061005	movie	She Beast	The She Beast	0	1966	\N	79	"Comedy,Horror,Thriller"	4.5	1072
tt0061014	movie	Dr. Goldfoot and the Girl Bombs	Le spie vengono dal semifreddo	0	1966	\N	82	"Adventure,Comedy,Sci-Fi"	4.1	1140
tt0061015	movie	Spinout	Spinout	0	1966	\N	90	"Comedy,Musical,Romance"	5.9	1740
tt0061024	movie	Stagecoach	Stagecoach	0	1966	\N	115	"Action,Adventure,Western"	6.1	1587
tt0061029	movie	Happy End	Happy End	0	1967	\N	71	"Comedy,Crime"	8	1042
tt0061037	movie	The Witches	Le streghe	0	1967	\N	111	"Comedy,Drama,Romance"	6.1	1384
tt0061042	movie	Hunger	Sult	0	1966	\N	112	Drama	7.8	2879
tt0061065	movie	The Face of Another	Tanin no kao	0	1966	\N	122	"Drama,Horror,Sci-Fi"	8	7640
tt0061073	movie	Teesri Manzil	Teesri Manzil	0	1966	\N	172	"Comedy,Musical,Mystery"	7.7	1116
tt0061074	movie	The Brute and the Beast	Le colt cantarono la morte e fu... tempo di massacro	0	1966	\N	92	"Action,Thriller,Western"	6.6	1614
tt0061075	movie	Ten Little Indians	Ten Little Indians	0	1965	\N	91	"Crime,Mystery,Thriller"	6.7	4247
tt0061080	movie	Texas Across the River	Texas Across the River	0	1966	\N	101	"Comedy,Western"	6.3	1390
tt0061089	movie	This Property Is Condemned	This Property Is Condemned	0	1966	\N	110	"Drama,Romance"	7.1	5275
tt0061094	movie	Thunderbirds Are GO	Thunderbirds Are GO	0	1966	\N	93	"Action,Adventure,Drama"	6.5	2109
tt0061101	movie	Tokyo Drifter	Tôkyô nagaremono	0	1966	\N	89	"Action,Crime"	7.2	7807
tt0061107	movie	Torn Curtain	Torn Curtain	0	1966	\N	128	"Drama,Romance,Thriller"	6.7	24901
tt0061113	movie	Trans-Europ-Express	Trans-Europ-Express	0	1966	\N	105	"Comedy,Drama,Mystery"	7.1	1570
tt0061115	movie	The Trap	The Trap	0	1966	\N	106	"Adventure,Drama,Romance"	7.3	1790
tt0061122	movie	The Trouble with Angels	The Trouble with Angels	0	1966	\N	112	"Comedy,Family"	7.4	4357
tt0061132	movie	The Hawks and the Sparrows	Uccellacci e uccellini	0	1966	\N	89	"Comedy,Drama,Fantasy"	7.3	4311
tt0061135	movie	The Ugly Dachshund	The Ugly Dachshund	0	1966	\N	93	"Comedy,Family"	6.7	3665
tt0061138	movie	A Man and a Woman	Un homme et une femme	0	1966	\N	102	"Drama,Romance"	7.6	9840
tt0061162	movie	"War and Peace, Part II: Natasha Rostova"	Voyna i mir II: Natasha Rostova	0	1966	\N	98	Drama	8	1207
tt0061170	movie	Walk Don't Run	Walk Don't Run	0	1966	\N	114	"Comedy,Romance"	6.7	3793
tt0061176	movie	"What Did You Do in the War, Daddy?"	"What Did You Do in the War, Daddy?"	0	1966	\N	116	"Comedy,War"	6.8	1755
tt0061177	movie	"What's Up, Tiger Lily?"	"What's Up, Tiger Lily?"	0	1966	\N	80	"Adventure,Comedy,Crime"	5.9	9137
tt0061180	movie	The Whisperers	The Whisperers	0	1967	\N	106	Drama	7.1	1107
tt0061184	movie	Who's Afraid of Virginia Woolf?	Who's Afraid of Virginia Woolf?	0	1966	\N	131	Drama	8	69308
tt0061189	movie	The Wild Angels	The Wild Angels	0	1966	\N	93	"Action,Drama,Thriller"	5.7	2680
tt0061191	movie	The Wild World of Batwoman	The Wild World of Batwoman	0	1966	\N	70	"Comedy,Sci-Fi"	2	4275
tt0061196	movie	Wings	Krylya	0	1966	\N	85	Drama	7.7	1691
tt0061197	movie	Winnetou and the Crossbreed	Winnetou und das Halbblut Apanatschi	0	1966	\N	90	"Adventure,Western"	5.8	1333
tt0061198	movie	Old Firehand	Winnetou und sein Freund Old Firehand	0	1966	\N	98	"Adventure,Western"	5.3	1037
tt0061204	movie	The Wrong Box	The Wrong Box	0	1966	\N	105	"Comedy,Crime"	6.8	3285
tt0061209	movie	You're a Big Boy Now	You're a Big Boy Now	0	1966	\N	96	"Comedy,Drama,Romance"	6.1	1436
tt0061320	movie	We Still Kill the Old Way	A ciascuno il suo	0	1967	\N	99	"Crime,Drama,Mystery"	7.1	1293
tt0061328	movie	Accident	Accident	0	1967	\N	105	Drama	6.9	3924
tt0061343	movie	Very Happy Alexander	Alexandre le bienheureux	0	1968	\N	100	"Comedy,Drama"	7.4	1957
tt0061357	movie	Angelique and the Sultan	Angélique et le sultan	0	1968	\N	105	"Adventure,Romance"	6.5	1335
tt0061369	movie	Asterix	Astérix le Gaulois	0	1967	\N	68	"Action,Adventure,Animation"	6.6	9918
tt0061376	movie	The Last Adventure	Les aventuriers	0	1967	\N	112	"Adventure,Drama"	7.2	2968
tt0061385	movie	Barefoot in the Park	Barefoot in the Park	0	1967	\N	106	"Comedy,Romance"	7	17230
tt0061389	movie	Beach Red	Beach Red	0	1967	\N	105	"Drama,War"	6.3	1309
tt0061391	movie	Bedazzled	Bedazzled	0	1967	\N	103	"Comedy,Fantasy,Romance"	6.9	8398
tt0061395	movie	Belle de Jour	Belle de jour	0	1967	\N	100	"Drama,Romance"	7.7	40627
tt0061398	movie	Berserk	Berserk	0	1967	\N	96	"Horror,Mystery,Thriller"	5.3	1927
tt0061405	movie	Billion Dollar Brain	Billion Dollar Brain	0	1967	\N	111	"Crime,Thriller"	6	4843
tt0061407	movie	The Taming of the Shrew	The Taming of the Shrew	0	1967	\N	122	"Comedy,Drama,Romance"	7.2	7376
tt0061411	movie	The Blood Beast Terror	The Blood Beast Terror	0	1968	\N	88	Horror	5.2	1346
tt0061418	movie	Bonnie and Clyde	Bonnie and Clyde	0	1967	\N	111	"Action,Biography,Crime"	7.8	103086
tt0061420	movie	The Born Losers	The Born Losers	0	1967	\N	113	"Action,Drama,Thriller"	6	2182
tt0061429	movie	A Bullet for the General	Quién sabe?	0	1967	\N	118	"Action,Western"	7.1	4009
tt0061433	movie	More Than a Miracle	C'era una volta	0	1967	\N	115	"Comedy,Fantasy,Romance"	6.2	1197
tt0061439	movie	Camelot	Camelot	0	1967	\N	179	"Adventure,Fantasy,Musical"	6.7	5954
tt0061447	movie	Caprice	Caprice	0	1967	\N	98	"Comedy,Crime,Thriller"	5.6	1224
tt0061450	movie	Carry on Doctor	Carry On Doctor	0	1967	\N	94	Comedy	6.5	3441
tt0061452	movie	Casino Royale	Casino Royale	0	1967	\N	131	Comedy	5.1	27573
tt0061456	movie	Catalina Caper	Catalina Caper	0	1967	\N	84	"Comedy,Musical,Mystery"	2.1	1793
tt0061465	movie	Chelsea Girls	Chelsea Girls	0	1966	\N	210	Drama	5.9	1217
tt0061473	movie	La Chinoise	La chinoise	0	1967	\N	95	"Comedy,Drama"	7.1	6282
tt0061489	movie	Clambake	Clambake	0	1967	\N	99	"Comedy,Musical"	5.7	2433
tt0061495	movie	The Collector	La collectionneuse	0	1967	\N	89	"Comedy,Drama,Romance"	7.5	6958
tt0061502	movie	The Comedians	The Comedians	0	1967	\N	150	Drama	6.4	1861
tt0061512	movie	Cool Hand Luke	Cool Hand Luke	0	1967	\N	127	"Crime,Drama"	8.1	163101
tt0061520	movie	Corruption	Corruption	0	1968	\N	91	Horror	5.9	1148
tt0061523	movie	A Countess from Hong Kong	A Countess from Hong Kong	0	1967	\N	120	"Comedy,Romance"	6.1	5680
tt0061537	movie	The Red and the White	"Csillagosok, katonák"	0	1967	\N	90	"Drama,War"	7.6	3204
tt0061549	movie	"Yongary, Monster from the Deep"	Taekoesu Yonggary	0	1967	\N	80	"Action,Adventure,Comedy"	3.9	1422
tt0061550	movie	Gappa the Triphibian Monsters	Daikyojû Gappa	0	1967	\N	90	"Action,Adventure,Comedy"	4.3	1346
tt0061556	movie	The Deadly Affair	The Deadly Affair	0	1967	\N	115	"Crime,Drama,Mystery"	6.8	3196
tt0061557	movie	The Deadly Bees	The Deadly Bees	0	1966	\N	84	"Drama,Horror,Mystery"	4	1730
tt0061568	movie	Diaboliquement vôtre	Diaboliquement vôtre	0	1967	\N	93	"Crime,Drama,Thriller"	6.1	1003
tt0061576	movie	God Forgives... I Don't!	Dio perdona... Io no!	0	1967	\N	109	Western	6.4	4174
tt0061578	movie	The Dirty Dozen	The Dirty Dozen	0	1967	\N	150	"Action,Adventure,War"	7.7	67500
tt0061581	movie	Divorce American Style	Divorce American Style	0	1967	\N	109	Comedy	6.3	1446
tt0061584	movie	Doctor Dolittle	Doctor Dolittle	0	1967	\N	152	"Adventure,Comedy,Family"	6.2	8607
tt0061587	movie	Navajo Joe	Navajo Joe	0	1966	\N	93	Western	6.4	3629
tt0061589	movie	Bob Dylan: Dont Look Back	Dont Look Back	0	1967	\N	96	"Documentary,Music"	8	8464
tt0061590	movie	Don't Make Waves	Don't Make Waves	0	1967	\N	97	Comedy	6	1437
tt0061595	movie	Double Trouble	Double Trouble	0	1967	\N	91	"Comedy,Crime,Drama"	5.3	1334
tt0061597	movie	The One-Armed Swordsman	Du bei dao	0	1967	\N	115	"Action,Drama"	7.3	2847
